,#00,#01,#02,#03,#04,#05,#06,#07,#08,#09,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19
0002392121.txt,4.551661356418012e-05,0.8201532108586477,0.15826139927807226,4.551661356418012e-05,4.551661356418012e-05,4.551661356418012e-05,4.551661356418012e-05,0.020811607432689245,4.551661356418012e-05,4.551661356418012e-05,4.551661356418012e-05,4.551661356418012e-05,4.551661356418012e-05,4.551661356418012e-05,4.551661356418012e-05,4.551661356418012e-05,4.551661356418012e-05,4.551661356418012e-05,4.551661356418012e-05,4.551661356418012e-05
0002392135.txt,3.331112591610431e-05,0.3228473265965216,3.331112591610431e-05,3.331112591610431e-05,3.331112591610431e-05,3.331112591610431e-05,3.331112591610431e-05,3.331112591610431e-05,3.331112591610431e-05,3.331112591610431e-05,3.331112591610431e-05,3.331112591610431e-05,3.331112591610431e-05,3.331112591610431e-05,3.331112591610431e-05,3.331112591610431e-05,0.6765530731369885,3.331112591610431e-05,3.331112591610431e-05,3.331112591610431e-05
0002392109.txt,2.3685457129353096e-05,0.26640627790520377,0.7038626012434688,2.3685457129353096e-05,2.3685457129353096e-05,2.3685457129353096e-05,2.3685457129353096e-05,0.029328468080128574,2.3685457129353096e-05,2.3685457129353096e-05,2.3685457129353096e-05,2.3685457129353096e-05,2.3685457129353096e-05,2.3685457129353096e-05,2.3685457129353096e-05,2.3685457129353096e-05,2.3685457129353096e-05,2.3685457129353096e-05,2.3685457129353096e-05,2.3685457129353096e-05
0002392055.txt,3.14762354423281e-05,0.3390813871287266,3.14762354423281e-05,3.14762354423281e-05,3.14762354423281e-05,3.14762354423281e-05,3.14762354423281e-05,0.6603520406333117,3.14762354423281e-05,3.14762354423281e-05,3.14762354423281e-05,3.14762354423281e-05,3.14762354423281e-05,3.14762354423281e-05,3.14762354423281e-05,3.14762354423281e-05,3.14762354423281e-05,3.14762354423281e-05,3.14762354423281e-05,3.14762354423281e-05
0002392041.txt,0.00014144271570028414,0.060888780997180245,0.00014144271570028414,0.00014144271570028414,0.00014144271570028414,0.00014144271570028414,0.00014144271570028414,0.9365652501202143,0.00014144271570028414,0.00014144271570028414,0.00014144271570028414,0.00014144271570028414,0.00014144271570028414,0.00014144271570028414,0.00014144271570028414,0.00014144271570028414,0.00014144271570028414,0.00014144271570028414,0.00014144271570028414,0.00014144271570028414
0002392069.txt,0.00019157088122662798,0.4134342037470726,0.00019157088122662798,0.00019157088122662798,0.00019157088122662798,0.00019157088122662798,0.00019157088122662798,0.5171164356766783,0.00019157088122662798,0.00019157088122662798,0.00019157088122662798,0.00019157088122662798,0.00019157088122662798,0.00019157088122662798,0.00019157088122662798,0.00019157088122662798,0.00019157088122662798,0.06619265559539662,0.00019157088122662798,0.00019157088122662798
0002392096.txt,5.9453032104794404e-05,0.6323824460106118,5.9453032104794404e-05,5.9453032104794404e-05,5.9453032104794404e-05,5.9453032104794404e-05,5.9453032104794404e-05,5.9453032104794404e-05,5.9453032104794404e-05,5.9453032104794404e-05,5.9453032104794404e-05,5.9453032104794404e-05,5.9453032104794404e-05,5.9453032104794404e-05,5.9453032104794404e-05,0.3665473994115021,5.9453032104794404e-05,5.9453032104794404e-05,5.9453032104794404e-05,5.9453032104794404e-05
0002394381.txt,6.548788474183537e-05,0.9987557301899054,6.548788474183537e-05,6.548788474183537e-05,6.548788474183537e-05,6.548788474183537e-05,6.548788474183537e-05,6.548788474183537e-05,6.548788474183537e-05,6.548788474183537e-05,6.548788474183537e-05,6.548788474183537e-05,6.548788474183537e-05,6.548788474183537e-05,6.548788474183537e-05,6.548788474183537e-05,6.548788474183537e-05,6.548788474183537e-05,6.548788474183537e-05,6.548788474183537e-05
0002394395.txt,4.6253469010443376e-05,0.9991211840888017,4.6253469010443376e-05,4.6253469010443376e-05,4.6253469010443376e-05,4.6253469010443376e-05,4.6253469010443376e-05,4.6253469010443376e-05,4.6253469010443376e-05,4.6253469010443376e-05,4.6253469010443376e-05,4.6253469010443376e-05,4.6253469010443376e-05,4.6253469010443376e-05,4.6253469010443376e-05,4.6253469010443376e-05,4.6253469010443376e-05,4.6253469010443376e-05,4.6253469010443376e-05,4.6253469010443376e-05
0002392082.txt,0.0001385041551250082,0.750006922449264,0.0001385041551250082,0.0001385041551250082,0.0001385041551250082,0.0001385041551250082,0.0001385041551250082,0.0001385041551250082,0.0001385041551250082,0.0001385041551250082,0.0001385041551250082,0.0001385041551250082,0.0001385041551250082,0.0001385041551250082,0.24750000275848552,0.0001385041551250082,0.0001385041551250082,0.0001385041551250082,0.0001385041551250082,0.0001385041551250082
